family,n_nodes,level,measure,value,extra
Watts-Strogatz,100,80,spectral_entropy,0.9550851832731028,925.0
Watts-Strogatz,100,60,spectral_entropy,0.9732170663344751,625.0
Watts-Strogatz,100,40,spectral_entropy,0.9351904491188174,329.0
Watts-Strogatz,100,20,spectral_entropy,1.0331230283911672,131.0
Watts-Strogatz,100,100,adamic_adar_entropy,1.5276579215354378,0.8748611111111111
Watts-Strogatz,100,100,seal_entropy,0.543209454908016,0.9275
Random-Regular,100,80,spectral_entropy,0.991174473862865,730.0
Random-Regular,100,60,spectral_entropy,1.028708133971292,559.0
Random-Regular,100,40,spectral_entropy,1.0084491687108204,370.0
Random-Regular,100,20,spectral_entropy,1.0136592379583034,141.0
Random-Regular,100,100,adamic_adar_entropy,-0.0,0.4625
Random-Regular,100,100,seal_entropy,0.8904579031336164,0.6909375
Barabasi-Albert,120,80,spectral_entropy,0.7795983086680761,885.0
Barabasi-Albert,120,60,spectral_entropy,0.7379171461449942,513.0
Barabasi-Albert,120,40,spectral_entropy,0.6680731364275668,285.0
Barabasi-Albert,120,20,spectral_entropy,0.5546218487394958,99.0
Barabasi-Albert,120,100,adamic_adar_entropy,2.4665013391954087,0.6320408163265305
Barabasi-Albert,120,100,seal_entropy,0.8930884420935361,0.666734693877551
Erdos-Renyi,120,80,spectral_entropy,0.9196055145350338,1781.0
Erdos-Renyi,120,60,spectral_entropy,0.8968058968058967,1168.0
Erdos-Renyi,120,40,spectral_entropy,0.9373274434014357,679.0
Erdos-Renyi,120,20,spectral_entropy,0.9367945823927765,249.0
Erdos-Renyi,120,100,adamic_adar_entropy,0.8821618796687568,0.4576301108678765
Erdos-Renyi,120,100,seal_entropy,0.9704972577168468,0.4556175411341007
Watts-Strogatz,120,80,spectral_entropy,0.9245742092457421,1140.0
Watts-Strogatz,120,60,spectral_entropy,0.9030674846625767,736.0
Watts-Strogatz,120,40,spectral_entropy,0.892620415377817,404.0
Watts-Strogatz,120,20,spectral_entropy,1.0157858613589568,185.0
Watts-Strogatz,120,100,adamic_adar_entropy,1.5352438550283622,0.8344907407407408
Watts-Strogatz,120,100,seal_entropy,0.4804916490701004,0.9000771604938271
Random-Regular,120,80,spectral_entropy,0.9949594564979181,908.0
Random-Regular,120,60,spectral_entropy,0.9898333804010166,701.0
Random-Regular,120,40,spectral_entropy,0.9648220530754988,469.0
Random-Regular,120,20,spectral_entropy,1.0275229357798166,224.0
Random-Regular,120,100,adamic_adar_entropy,0.18771552857835974,0.4583333333333333
Random-Regular,120,100,seal_entropy,0.899383557635256,0.6391059027777778
Barabasi-Albert,150,80,spectral_entropy,0.8273885350318472,1299.0
Barabasi-Albert,150,60,spectral_entropy,0.7544326241134752,851.0
Barabasi-Albert,150,40,spectral_entropy,0.7650716409840498,566.0
Barabasi-Albert,150,20,spectral_entropy,0.7430647291941875,225.0
Barabasi-Albert,150,100,adamic_adar_entropy,1.8998388416858414,0.5777376033057853
Barabasi-Albert,150,100,seal_entropy,0.9146536380113783,0.6988636363636364
Erdos-Renyi,150,80,spectral_entropy,0.9706818562573295,2897.0
Erdos-Renyi,150,60,spectral_entropy,0.9046430354468298,1812.0
Erdos-Renyi,150,40,spectral_entropy,0.9208671131476912,1045.0
Erdos-Renyi,150,20,spectral_entropy,0.8935936211163047,325.0
Erdos-Renyi,150,100,adamic_adar_entropy,0.9292354642562921,0.5001795918367347
Erdos-Renyi,150,100,seal_entropy,0.9973770069397246,0.4884897959183674
Watts-Strogatz,150,80,spectral_entropy,0.9199014171287738,1493.0
Watts-Strogatz,150,60,spectral_entropy,0.9731232622798888,1050.0
Watts-Strogatz,150,40,spectral_entropy,0.9533011272141707,592.0
Watts-Strogatz,150,20,spectral_entropy,1.0092961487383798,228.0
Watts-Strogatz,150,100,adamic_adar_entropy,2.4692623391443016,0.875679012345679
Watts-Strogatz,150,100,seal_entropy,0.4292880237916402,0.9585185185185185
Random-Regular,150,80,spectral_entropy,0.9982486865148862,1197.0
Random-Regular,150,60,spectral_entropy,0.9933916009379663,932.0
Random-Regular,150,40,spectral_entropy,0.9796106086156677,639.0
Random-Regular,150,20,spectral_entropy,0.9978617248752673,280.0
Random-Regular,150,100,adamic_adar_entropy,0.8420254565693037,0.4831944444444445
Random-Regular,150,100,seal_entropy,0.8541221256051617,0.7988888888888889
Barabasi-Albert,200,80,spectral_entropy,0.7806004618937644,1690.0
Barabasi-Albert,200,60,spectral_entropy,0.7097574421168688,1030.0
Barabasi-Albert,200,40,spectral_entropy,0.7432432432432432,704.0
Barabasi-Albert,200,20,spectral_entropy,0.8286456079619212,383.0
Barabasi-Albert,200,100,adamic_adar_entropy,2.7991942620010066,0.5578497558172938
Barabasi-Albert,200,100,seal_entropy,0.881772667155585,0.722421717897156
Erdos-Renyi,200,80,spectral_entropy,0.8923869811215057,4779.0
Erdos-Renyi,200,60,spectral_entropy,0.846534097292439,3014.0
Erdos-Renyi,200,40,spectral_entropy,0.9064819396338446,1832.0
Erdos-Renyi,200,20,spectral_entropy,0.903370786516854,603.0
Erdos-Renyi,200,100,adamic_adar_entropy,0.9519042668016386,0.5134593096497858
Erdos-Renyi,200,100,seal_entropy,1.0030268330138419,0.47677500629881586
Watts-Strogatz,200,80,spectral_entropy,0.8611875737318129,1971.0
Watts-Strogatz,200,60,spectral_entropy,0.8713855815779145,1332.0
Watts-Strogatz,200,40,spectral_entropy,0.9119458871844426,755.0
Watts-Strogatz,200,20,spectral_entropy,0.9622988505747126,299.0
Watts-Strogatz,200,100,adamic_adar_entropy,1.6351161100586349,0.9117013888888889
Watts-Strogatz,200,100,seal_entropy,0.39449927734146567,0.9413888888888889
Random-Regular,200,80,spectral_entropy,0.9964494330546328,1740.0
Random-Regular,200,60,spectral_entropy,0.9851687325356452,1375.0
Random-Regular,200,40,spectral_entropy,0.9660213354405374,978.0
Random-Regular,200,20,spectral_entropy,0.9789750328515111,447.0
Random-Regular,200,100,adamic_adar_entropy,-0.0,0.46875
Random-Regular,200,100,seal_entropy,0.933490073581298,0.787578125
