family,size,instance,level,value,n_nodes,n_edges
regular,2500,6,60,0.9854681838408238,2500,6250
regular,2500,6,40,0.9948649951044036,2500,6250
regular,2500,6,20,0.9285909484615349,2500,6250
regular,2500,7,100,1.0024102574233953,2500,6250
regular,2500,7,80,0.9852357803803058,2500,6250
regular,2500,7,60,0.9867702576452231,2500,6250
regular,2500,7,40,0.9898298658251692,2500,6250
regular,2500,7,20,0.9564859864318509,2500,6250
regular,2500,8,100,1.0057736561436388,2500,6250
regular,2500,8,80,0.9920069301263821,2500,6250
regular,2500,8,60,0.9859069032287575,2500,6250
regular,2500,8,40,0.9932317224363351,2500,6250
regular,2500,8,20,0.9407943236269812,2500,6250
regular,2500,9,100,1.0024597694336603,2500,6250
regular,2500,9,80,0.9904070750307721,2500,6250
regular,2500,9,60,0.9872616331187353,2500,6250
regular,2500,9,40,0.9930300280204486,2500,6250
regular,2500,9,20,0.9274791698437566,2500,6250
grid,2500,0,100,0.7302291736839804,2500,4900
grid,2500,0,80,0.7611647369590442,2500,4900
grid,2500,0,60,0.7367669987579609,2500,4900
grid,2500,0,40,0.7026820004893772,2500,4900
grid,2500,0,20,0.7326556481887768,2500,4900
grid,2500,1,100,0.7286834434911121,2500,4900
grid,2500,1,80,0.7411532886108201,2500,4900
grid,2500,1,60,0.7201858053529275,2500,4900
grid,2500,1,40,0.7280784525173551,2500,4900
grid,2500,1,20,0.7393662233182889,2500,4900
grid,2500,2,100,0.7281789884465686,2500,4900
grid,2500,2,80,0.7578384268661151,2500,4900
grid,2500,2,60,0.7174142821294683,2500,4900
grid,2500,2,40,0.7061528644281427,2500,4900
grid,2500,2,20,0.737043915882811,2500,4900
grid,2500,3,100,0.7282294025185455,2500,4900
grid,2500,3,80,0.7704196848353222,2500,4900
grid,2500,3,60,0.7365477079861311,2500,4900
grid,2500,3,40,0.6986911105472384,2500,4900
grid,2500,3,20,0.7442459205931081,2500,4900
grid,2500,4,100,0.7286011883382761,2500,4900
grid,2500,4,80,0.7730145610251757,2500,4900
grid,2500,4,60,0.7087089660976009,2500,4900
grid,2500,4,40,0.7216435276381382,2500,4900
grid,2500,4,20,0.7328093601740764,2500,4900
grid,2500,5,100,0.7261124349311215,2500,4900
grid,2500,5,80,0.7656328593686741,2500,4900
grid,2500,5,60,0.7350960272608287,2500,4900
grid,2500,5,40,0.7051643396062788,2500,4900
grid,2500,5,20,0.7310147348326672,2500,4900
grid,2500,6,100,0.7267813821129889,2500,4900
grid,2500,6,80,0.7890549640055705,2500,4900
grid,2500,6,60,0.7282273974380011,2500,4900
grid,2500,6,40,0.7280748663101604,2500,4900
grid,2500,6,20,0.7284333611740842,2500,4900
grid,2500,7,100,0.7305710544661301,2500,4900
grid,2500,7,80,0.7763239523997518,2500,4900
grid,2500,7,60,0.7284913090171433,2500,4900
grid,2500,7,40,0.7400588344201929,2500,4900
grid,2500,7,20,0.7412496384148106,2500,4900
grid,2500,8,100,0.7275354225213201,2500,4900
grid,2500,8,80,0.7581367489005651,2500,4900
grid,2500,8,60,0.723494131179958,2500,4900
grid,2500,8,40,0.6922019833290003,2500,4900
grid,2500,8,20,0.7649463342337389,2500,4900
grid,2500,9,100,0.7298032101062326,2500,4900
grid,2500,9,80,0.7479044569688118,2500,4900
grid,2500,9,60,0.7203545935988948,2500,4900
grid,2500,9,40,0.7162143339297767,2500,4900
grid,2500,9,20,0.7671418053661304,2500,4900
